source,paradigm,is_cube,session_id,mean_likelihood,interp_rate,mean_velocity_px_s,std_velocity_px_s,cv_velocity,mean_jitter,pos_std_x,pos_std_y,bbox_area
bsoid_demo,open_field,False,raw_clip1DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,0.9770464455290844,0.016874999999999998,92.3660476002557,181.34314883099464,2.025765260081625,2.3983125038063924,234.1149366963032,163.16526969604362,521514.94468910404
bsoid_demo,open_field,False,raw_clip2DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,0.9114211010527381,0.07516203703703704,80.9698392388578,175.4517152364326,2.2212438095980516,3.2045423434626277,278.58323069014233,187.538499010848,506039.83420257334
patterns2025_batch1,novel_object,False,new_Trial     1DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9980976307644699,0.0,110.32894705815534,88.39694939738278,0.8093153950813359,1.2926779380853346,143.94825300899598,143.2389254561891,213907.63656708927
patterns2025_batch1,novel_object,False,new_Trial     2DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.998220332904578,0.0,75.8626383121324,78.0530608000992,1.0391847789093551,0.9603972812569403,129.67551874733647,132.4376228699654,205008.47463996138
patterns2025_batch1,novel_object,False,new_Trial     3DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9972409674189044,2.4367510797853222e-05,93.03150747561499,78.3108084261993,0.8498427104216073,1.1709917667913403,121.10506985592052,124.97431972662939,202434.58910841745
patterns2025_batch1,novel_object,False,new_Trial     4DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9982905597111895,0.0,91.51068697323471,88.0299519676649,0.9706135214232787,1.0590804103917055,143.01884378213825,133.5972488031006,202565.567493519
patterns2025_batch1,novel_object,False,new_Trial     5DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.997442619342694,6.061010127947924e-06,118.8747076328289,98.2386430392824,0.8320690206453615,1.2985737761323084,148.94731831791455,150.87576621400274,203953.66371219323
patterns2025_batch1,novel_object,False,new_Trial     6DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9864880182143447,0.011212868736703659,97.88560238616382,98.37491694318602,1.0173487092261997,1.1578010748328007,154.77423025989276,149.8298928141102,205956.21680331396
patterns2025_batch1,novel_object,False,new_Trial     7DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9983661868723831,0.0,95.62923514661355,83.68602817087198,0.8886948393285276,1.1321830681790626,130.32061698715694,139.91432222535437,202909.91873372727
patterns2025_batch1,novel_object,False,new_Trial     8DLC_resnet50_NORT-topdownMar1shuffle1_100000,0.9979831143093847,0.0,100.38563932267003,94.03530192649377,0.9460110133138865,1.1077040694758047,145.02840424468116,144.62552473766888,213247.38193847044
