source,paradigm,is_cube,session_id,bodypart,canonical,n_frames,fps,mean_likelihood,interp_rate,mean_velocity_px_s,std_velocity_px_s,cv_velocity,mean_jitter,pos_std_x,pos_std_y,bbox_area
bsoid_demo,open_field,False,raw_clip1DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Snout,nose,7200,30,0.9217073542941621,0.0725,116.33054968928056,169.0539538395486,1.4532206225371795,2.499129026648266,227.00786320645065,157.113367161798,593985.6392087226
bsoid_demo,open_field,False,raw_clip1DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Front Paw R,,7200,30,0.977517691610588,0.010555555555555556,111.13273703543348,211.45961007658073,1.902766148998554,3.074764435625536,232.93023503665688,159.56098295633143,513496.65350064705
bsoid_demo,open_field,False,raw_clip1DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Front Paw L,,7200,30,0.9762181764885058,0.009583333333333333,122.013935144385,255.93324838506908,2.0975739212263815,3.4698237053975807,233.53363678939147,159.6720266591861,542944.7848560198
bsoid_demo,open_field,False,raw_clip1DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Hind Paw R,,7200,30,0.994382261707344,0.0038888888888888888,66.05138243591361,178.41609483180693,2.7011712435377904,1.8668059349471084,239.0300774504315,165.99415117434984,450617.6986550228
bsoid_demo,open_field,False,raw_clip1DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Hind Paw L,,7200,30,0.9949652033499701,0.002916666666666667,66.54445453313492,182.34326758129563,2.7401722481698343,2.0011134055262194,236.95606953958324,166.13732422952194,503402.72586151416
bsoid_demo,open_field,False,raw_clip1DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Butt/Proximal Tail,,7200,30,0.9974879857239365,0.0018055555555555555,72.12322676338665,90.85271827166676,1.259687376020011,1.478238514693643,235.23173815530558,170.51376599507435,524642.1660526976
bsoid_demo,open_field,False,raw_clip2DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Snout,nose,7200,30,0.7813340363368236,0.1986111111111111,99.32064858658082,146.7128573264184,1.4771637057779015,3.5837453659107226,274.2711892148493,186.07327539962432,540407.7706940465
bsoid_demo,open_field,False,raw_clip2DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Front Paw R,,7200,30,0.8564507980195696,0.11597222222222223,97.40473730859442,209.26561516716998,2.1484131157212785,3.9152291474806615,277.0638344951661,190.03351739625623,510123.36488543125
bsoid_demo,open_field,False,raw_clip2DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Front Paw L,,7200,30,0.8477932603394664,0.12861111111111112,95.22623243761818,211.30527684954274,2.2189818019731784,3.87939198039134,274.3615127417417,185.7881585186297,499254.6953123312
bsoid_demo,open_field,False,raw_clip2DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Hind Paw R,,7200,30,0.9950865896294514,0.0008333333333333334,66.39296427886048,189.65571036727616,2.856563378774497,2.815769115913863,284.73496729167823,190.79939553637854,517951.53872194246
bsoid_demo,open_field,False,raw_clip2DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Hind Paw L,,7200,30,0.9903211368588059,0.004722222222222222,64.55301751933185,184.9579200157379,2.8652095149595156,2.6728933623048925,275.7237377781742,183.42699014073145,481456.131583621
bsoid_demo,open_field,False,raw_clip2DLC_resnet50_OpenFieldHighResApr8shuffle1_1030000,Butt/Proximal Tail,,7200,30,0.9975407851323124,0.0022222222222222222,62.92143530216107,110.81291169245033,1.7611313403819382,2.360225088774287,285.3441426192443,189.10965707346784,487045.50401806773
sturman_oft,open_field,False,10_01_A_190507141248DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tl,,15229,25,0.9780471589577958,0.021340862827500164,12.20127152603606,9.939501969725164,0.8146283728310981,0.32918279671907685,1.0522027821865003,1.3088259753101763,328.0408796276472
sturman_oft,open_field,False,10_01_A_190507141248DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tr,,15229,25,0.9756999624750824,0.02396743056011557,10.509221644974463,8.70972178250558,0.8287694442785486,0.263449387366251,0.7278271747883265,0.6598789576505976,302.3910953906079
